Product Name,Price,Description,Rating,RAM_GB,ROM_GB,Screen_cm,Rear_Camera_MP,Front_Camera_MP,Battery_mAh,Is_5G,Price_INR,Brand,Price_per_GB_RAM,Camera_Score,Value_Score,Price_Tier
"REDMI A5 (Just Black, 128 GB)","₹7,999",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.48 cm (6.88 inch) HD+ Display32MP Rear Camera | 8MP Front Camera5200 mAh BatteryT7250 Processor1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories,4.2,4.0,128.0,17.48,32.0,8.0,5200.0,0.0,7999.0,Redmi,1999.75,40.0,2.6003250406300786,Premium
"POCO C71 (Power Black, 64 GB)","₹7,199","4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.48 cm (6.88 inch) HD+ Display32MP Rear Camera | 8MP Front Camera5200 mAh BatteryUnisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",3.9,4.0,64.0,17.48,32.0,8.0,5200.0,0.0,7199.0,Poco,1799.75,40.0,2.8892901791915544,Premium
"REDMI A4 (Starry Black, 128 GB)","₹9,788",4 GB RAM | 128 GB ROM17.48 cm (6.88 inch) Display50MP Rear Camera5160 mAh Battery1 Year,4.3,4.0,128.0,17.48,50.0,8.0,5160.0,0.0,9788.0,Redmi,2447.0,58.0,2.108704536166735,Premium
"realme Narzo 80 Lite 4G (Beach Gold, 128 GB)","₹8,983",6 GB RAM | 128 GB ROM17.12 cm (6.74 inch) HD+ Display32MP Rear Camera6300 mAh Battery1 year brand Warranty,4.3,6.0,128.0,17.12,32.0,8.0,6300.0,0.0,8983.0,realme,1497.1666666666667,40.0,4.207948346877435,Premium
"REDMI A4 (Starry Black, 64 GB)","₹9,650",4 GB RAM | 64 GB ROM17.48 cm (6.88 inch) Display50MP Rear Camera5160 mAh Battery1 Year,4.3,4.0,64.0,17.48,50.0,8.0,5160.0,0.0,9650.0,Redmi,2412.5,58.0,2.138860103626943,Premium
"realme Narzo 80 Lite 4G (Obsidian Black, 64 GB)","₹7,997",4 GB RAM | 64 GB ROM17.12 cm (6.74 inch) HD+ Display32MP Rear Camera6300 mAh Battery1 year brand Warranty,4.3,4.0,64.0,17.12,32.0,8.0,6300.0,0.0,7997.0,realme,1999.25,40.0,3.1511816931349257,Premium
"POCO C75 5G (Silver Stardust, 128 GB)","₹9,299",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5160 mAh Battery4s Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.2,4.0,128.0,17.48,50.0,5.0,5160.0,1.0,9299.0,Poco,2324.75,55.0,2.2195935046779223,Premium
"realme Narzo 80 Lite 4G (Beach Gold, 64 GB)","₹8,010",4 GB RAM | 64 GB ROM17.12 cm (6.74 inch) HD+ Display32MP Rear Camera6300 mAh Battery1 year brand Warranty,4.3,4.0,64.0,17.12,32.0,8.0,6300.0,0.0,8010.0,realme,2002.5,40.0,3.146067415730337,Premium
"REDMI A4 (Sparkle Purple, 128 GB)","₹9,822",4 GB RAM | 128 GB ROM17.48 cm (6.88 inch) Display50MP Rear Camera5160 mAh Battery1 Year,4.3,4.0,128.0,17.48,50.0,8.0,5160.0,0.0,9822.0,Redmi,2455.5,58.0,2.1014050091631034,Premium
"realme Narzo 80 Lite 5G (Onyx Black, 128 GB)","₹11,509",4 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Display32MP Rear Camera6000 mAh Battery1 Year Warranty,4.3,4.0,128.0,16.94,32.0,8.0,6000.0,0.0,11509.0,realme,2877.25,40.0,2.085324528629768,Ultra
"realme C71 (Obsidian Black, 128 GB)","₹9,699",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.14 cm (6.75 inch) HD+ Display13MP Rear Camera | 5MP Front Camera6300 mAh BatteryT7250 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.2,6.0,128.0,17.14,13.0,5.0,6300.0,0.0,9699.0,realme,1616.5,18.0,3.8973090009279305,Premium
"REDMI A4 (Sparkle Purple, 64 GB)","₹9,895",4 GB RAM | 64 GB ROM17.48 cm (6.88 inch) Display50MP Rear Camera5160 mAh Battery1 Year,4.3,4.0,64.0,17.48,50.0,8.0,5160.0,0.0,9895.0,Redmi,2473.75,58.0,2.085901970692269,Premium
"Ai+ Nova 5G (Purple, 128 GB)","₹9,499",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryT8200 Processor1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,3.9,8.0,128.0,17.13,50.0,5.0,5000.0,0.0,9499.0,Ai+,1187.375,55.0,4.210969575744815,Premium
"realme C63 (Jade Green, 128 GB)","₹9,499",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5000 mAh BatteryT612 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3,4.0,128.0,17.13,50.0,8.0,5000.0,0.0,9499.0,realme,2374.75,58.0,2.1054847878724074,Premium
"realme C71 (Obsidian Black, 64 GB)","₹8,133",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.14 cm (6.75 inch) HD+ Display13MP Rear Camera | 5MP Front Camera6300 mAh BatteryT7250 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3,4.0,64.0,17.14,13.0,5.0,6300.0,0.0,8133.0,realme,2033.25,18.0,3.098487642936186,Premium
"Ai+ Nova 5G (Green, 128 GB)","₹9,499",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryT8200 Processor1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,5.0,8.0,128.0,17.13,50.0,5.0,5000.0,0.0,9499.0,Ai+,1187.375,55.0,4.210969575744815,Premium
"POCO M6 5G (Orion Blue, 64 GB)","₹8,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryMediatek Dimensity 6100+ Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,2.0,4.0,64.0,17.12,50.0,5.0,5000.0,0.0,8999.0,Poco,2249.75,55.0,2.22246916324036,Premium
"POCO M6 5G (Polaris Green, 64 GB)","₹8,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryMediatek Dimensity 6100+ Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3,4.0,64.0,17.12,50.0,5.0,5000.0,0.0,8999.0,Poco,2249.75,55.0,2.22246916324036,Premium
"Tecno Spark 30C 5G (Aurora Cloud, 64 GB)","₹9,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Display48MP Rear Camera | 8MP Front Camera5000 mAh BatteryDimensity 6300 5G Processor1 Year Manufacturer Warranty for Phone,5.0,4.0,64.0,16.94,48.0,8.0,5000.0,1.0,9999.0,Tecno,2499.75,56.0,2.000200020002,Premium
"Ai+ Nova 5G (Blue, 128 GB)","₹9,499",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryT8200 Processor1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,5.0,8.0,128.0,17.13,50.0,5.0,5000.0,0.0,9499.0,Ai+,1187.375,55.0,4.210969575744815,Premium
"Samsung M05 (Mint Green, 64 GB)","₹9,999",4 GB RAM | 64 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera5000 mAh Battery1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,4.3,4.0,64.0,17.02,50.0,8.0,5000.0,0.0,9999.0,Samsung,2499.75,58.0,2.000200020002,Premium
"REDMI A3X (Midnight Black, 128 GB)","₹8,999",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.04 cm (6.71 inch) HD+ Display8MP Rear Camera | 5MP Front Camera5000 mAh Battery1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,5.0,4.0,128.0,17.04,8.0,5.0,5000.0,0.0,8999.0,Redmi,2249.75,13.0,2.22246916324036,Premium
"Samsung Galaxy A06 (Light Blue, 64 GB)","₹9,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Helio G85 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,1.0,4.0,64.0,17.02,41.4,8.0,5000.0,0.0,9999.0,Samsung,2499.75,49.4,2.000200020002,Premium
"LAVA Storm Lite 5G (Cosmic Titanium, 128 GB)","₹9,599",4 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera5000 mAh Battery1 Year Handset Warranty and 6 Months Warranty on Accessories,4.3,4.0,128.0,17.02,50.0,8.0,5000.0,0.0,9599.0,LAVA,2399.75,58.0,2.0835503698301907,Premium
"Tecno Spark Go 5G (Turquoise Green, 128 GB)","₹10,999",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) Display50MP Rear Camera | 5MP Front Camera6000 mAh BatteryDimensity 6400 5G Processor1 Year Manufacturer Warranty for Handset,4.0,4.0,128.0,17.12,50.0,5.0,6000.0,1.0,10999.0,Tecno,2749.75,55.0,2.1820165469588146,Ultra
"OPPO A18 (Glowing Blue, 64 GB)","₹9,687",4 GB RAM | 64 GB ROM16.66 cm (6.56 inch) HD+ Display8MP + 2MP | 5MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,5.0,4.0,64.0,16.66,64.4,5.0,5000.0,0.0,9687.0,Oppo,2421.75,69.4,2.0646226902033655,Premium
"Samsung Galaxy A06 (Gold, 64 GB)","₹9,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Helio G85 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.2,4.0,64.0,17.02,41.4,8.0,5000.0,0.0,9999.0,Samsung,2499.75,49.4,2.000200020002,Premium
"realme C61 (Safari Green, 128 GB)","₹8,199",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.13 cm (6.745 inch) HD+ Display32MP Rear Camera | 5MP Front Camera5000 mAh BatteryT612 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,5.0,6.0,128.0,17.13,32.0,5.0,5000.0,0.0,8199.0,realme,1366.5,37.0,3.658982802780827,Premium
"Motorola g04s (Sea Green, 64 GB)","₹9,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryT606 Processor1 Year on Handset and 6 Months on Accessories,5.0,4.0,64.0,16.76,50.0,5.0,5000.0,0.0,9999.0,Motorola,2499.75,55.0,2.000200020002,Premium
"REDMI A3X (Ocean Green, 128 GB)","₹8,999",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.04 cm (6.71 inch) HD+ Display8MP Rear Camera | 5MP Front Camera5000 mAh Battery1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3,4.0,128.0,17.04,8.0,5.0,5000.0,0.0,8999.0,Redmi,2249.75,13.0,2.22246916324036,Premium
"REDMI 13C (Starfrost White, 128 GB)","₹9,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,3.9,6.0,128.0,17.12,50.0,8.0,5000.0,0.0,9999.0,Redmi,1666.5,58.0,3.0003000300030003,Premium
"REDMI 12 (Moonstone Silver, 128 GB)","₹9,499",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display50MP + 8MP + 2MP | 8MP Front Camera5000 mAh BatteryHelio G88 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,4.2,4.0,128.0,17.25,43.4,8.0,5000.0,0.0,9499.0,Redmi,2374.75,51.4,2.1054847878724074,Premium
"realme C61 (Marble Black, 128 GB)","₹8,199",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.13 cm (6.745 inch) HD+ Display32MP Rear Camera | 5MP Front Camera5000 mAh BatteryT612 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.2,6.0,128.0,17.13,32.0,5.0,5000.0,0.0,8199.0,realme,1366.5,37.0,3.658982802780827,Premium
"Tecno Spark Go 2024 (Gravity Black, 128 GB)","₹8,499",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.66 cm (6.56 inch) HD+ Display13MP + 0.08MP | 8MP Front Camera5000 mAh BatteryUnisoc T606 ProcessorDomestic Warranty of 12 Months on Phone & 6 Months on Accessories,4.1,4.0,128.0,16.66,42.4,8.0,5000.0,0.0,8499.0,Tecno,2124.75,50.4,2.3532180256500763,Premium
"Samsung Galaxy A04 (Copper, 64 GB)","₹9,800",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) HD+ Display50MP + 2MP | 5MP Front Camera5000 mAh Lithium Ion BatteryMediatek Helio P35 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.3,4.0,64.0,16.51,90.4,5.0,5000.0,0.0,9800.0,Samsung,2450.0,95.4,2.0408163265306123,Premium
"REDMI 13C 5G (Starlight Black, 128 GB)","₹9,999",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryMediatek Dimensity 6100+ Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.1,4.0,128.0,17.12,50.0,5.0,5000.0,0.0,9999.0,Redmi,2499.75,55.0,2.000200020002,Premium
"LAVA Blaze Dragon (Midnight Mist, 128 GB)","₹9,998",4 GB RAM | 128 GB ROM17.14 cm (6.75 inch) Display50MP Rear Camera5000 mAh Battery1 Year Handset Warranty and 6 Months Warranty on Accessories,4.2,4.0,128.0,17.14,50.0,8.0,5000.0,0.0,9998.0,LAVA,2499.5,58.0,2.000400080016003,Premium
"REDMI 13c 5G (Starlight Black, 128 GB)","₹9,999",4 GB RAM | 128 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera5000 mAh Battery1 Year,4.3,4.0,128.0,17.12,50.0,8.0,5000.0,0.0,9999.0,Redmi,2499.75,58.0,2.000200020002,Premium
"Tecno Spark 10 Pro (Lunar Eclipse, 128 GB)","₹9,499",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.97 cm (6.68 inch) Full HD+ Display50MP Rear Camera | 32MP Front Camera5000 mAh BatteryMediatek Helio G88 Processor1 Year Warranty,4.3,8.0,128.0,16.97,50.0,32.0,5000.0,0.0,9499.0,Tecno,1187.375,82.0,4.210969575744815,Premium
"REDMI 13C (Stardust Black, 128 GB)","₹10,290",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.1,6.0,128.0,17.12,50.0,8.0,5000.0,0.0,10290.0,Redmi,1715.0,58.0,2.9154518950437316,Ultra
"realme C63 (Jade Green, 64 GB)","₹8,499",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5000 mAh BatteryT612 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3,4.0,64.0,17.13,50.0,8.0,5000.0,0.0,8499.0,realme,2124.75,58.0,2.3532180256500763,Premium
"REDMI 13C 5G (Startrail Silver, 128 GB)","₹9,999",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryMediatek Dimensity 6100+ Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3,4.0,128.0,17.12,50.0,5.0,5000.0,0.0,9999.0,Redmi,2499.75,55.0,2.000200020002,Premium
"Infinix SMART 10 (Titanium Silver, 64 GB)","₹7,999",4 GB RAM | 64 GB ROM16.94 cm (6.67 inch) HD+ Display8MP Rear Camera | 8MP Front Camera5000 mAh BatteryUniSoc T7250 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,3.9,4.0,64.0,16.94,8.0,8.0,5000.0,0.0,7999.0,Infinix,1999.75,16.0,2.5003125390673833,Premium
"REDMI 13c 5G (Startrail Green, 128 GB)","₹9,829",6 GB RAM | 128 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera5000 mAh Battery1 Year,4.3,6.0,128.0,17.12,50.0,8.0,5000.0,0.0,9829.0,Redmi,1638.1666666666667,58.0,3.0521924916064704,Premium
"Tecno Spark 30C 5G (Midnight Shadow, 64 GB)","₹9,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Display48MP Rear Camera | 8MP Front Camera5000 mAh BatteryDimensity 6300 5G Processor1 Year Manufacturer Warranty for Phone,4.0,4.0,64.0,16.94,48.0,8.0,5000.0,1.0,9999.0,Tecno,2499.75,56.0,2.000200020002,Premium
"realme C63 (Leather Blue, 64 GB)","₹7,999",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5000 mAh BatteryT612 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.2,4.0,64.0,17.13,50.0,8.0,5000.0,0.0,7999.0,realme,1999.75,58.0,2.5003125390673833,Premium
"itel A90 (Aurora Blue, 64 GB)","₹7,499",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD Display13MP Rear Camera | 5MP Front Camera5000 mAh BatteryUnisoc T7100 Processor1 year manufacturer Warranty,5.0,4.0,64.0,16.76,13.0,5.0,5000.0,0.0,7499.0,itel,1874.75,18.0,2.6670222696359516,Premium
"Motorola e13 (Cosmic Black, 64 GB)","₹9,999",2 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) HD+ Display13MP Rear Camera | 5MP Front Camera5000 mAh BatteryUnisoc T606 Processor1 Year on Handset and 6 Months on Accessories,5.0,2.0,64.0,16.51,13.0,5.0,5000.0,0.0,9999.0,Motorola,4999.5,18.0,1.000100010001,Premium
"Tecno Spark 30C 5G (Azure Sky, 64 GB)","₹9,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Display48MP Rear Camera | 8MP Front Camera5000 mAh BatteryDimensity 6300 5G Processor1 Year Manufacturer Warranty for Phone,3.9,4.0,64.0,16.94,48.0,8.0,5000.0,1.0,9999.0,Tecno,2499.75,56.0,2.000200020002,Premium
"Samsung Galaxy A05s (Light Green, 128 GB)","₹9,990",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP + 2MP | 13MP Front Camera5000 mAh Battery680 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.0,4.0,128.0,17.07,42.8,13.0,5000.0,0.0,9990.0,Samsung,2497.5,55.8,2.002002002002002,Premium
"REDMI A2+ (Aqua Blue, 128 GB)","₹6,322","4 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.56 cm (6.52 inch) HD+ Display8MP + 8MP | 5MP + 5MP Dual Front Camera5000 mAh BatteryOCTA CORE Processor1 Year and 6 months for Battery,Accessories",3.0,4.0,128.0,16.56,9.0,8.0,5000.0,0.0,6322.0,Redmi,1580.5,17.0,3.1635558367605188,Mid
"Tecno Spark 10 (Magic Skin Orange, 128 GB)","₹9,299",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) HD Display50MP Rear Camera | 8MP Front Camera5000 mAh BatteryMediatek Helio G37 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.2,8.0,128.0,16.76,50.0,8.0,5000.0,0.0,9299.0,Tecno,1162.375,58.0,4.301537799763415,Premium
"Infinix Hot 50 5G (Sage Green, 128 GB)","₹10,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) HD+ Display48MP + Depth Sensor | 8MP Front Camera5000 mAh Lithium-ion Polymer BatteryDimensity 6300 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.0,8.0,128.0,17.02,50.0,8.0,5000.0,0.0,10999.0,Infinix,1374.875,58.0,3.6366942449313573,Ultra
"Samsung Galaxy M04 (Light Green, 64 GB)","₹8,999",4 GB RAM | 64 GB ROM16.51 cm (6.5 inch) HD+ Display13MP + 2MP | 5MP Front Camera5000 mAh BatteryMediaTek Helio P35 Processor1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,5.0,4.0,64.0,16.51,27.8,5.0,5000.0,0.0,8999.0,Samsung,2249.75,32.8,2.22246916324036,Premium
"Motorola G32 (Satin Maroon, 128 GB)","₹18,999",8 GB RAM | 128 GB ROM16.51 cm (6.5 inch) Full HD+ Display50MP + 8MP + 2MP | 16MP Front Camera5000 mAh Lithium Polymer BatteryQualcomm Snapdragon 680 Processor1 Year on Handset and 6 Months on Accessories,4.3,8.0,128.0,16.51,46.4,16.0,5000.0,0.0,18999.0,Motorola,2374.875,62.4,2.1053739670508973,Ultra
"LAVA Yuva 3PRO DS with Premium Glass Back Design|5000 mAh Battery|Expandable Upto 1TB (DESERT GOLD, 12...","₹8,498",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryUnisoc Tiger T616 (12 nm) Processor1 Year Handset Domestic Warranty and 6 Months Warranty on Accessories,4.0,8.0,128.0,16.51,39.0,8.0,5000.0,0.0,8498.0,LAVA,1062.25,47.0,4.706989879971758,Premium
